county,speed_source,pollutantID_2,pollutantID_3,pollutantID_87,pollutantID_100,pollutantID_110
Midland,INRIX_XD,-4.36%,-2.61%,-9.03%,-3.04%,-3.04%
Midland,INRIX_XD_FRC_1_4,-4.71%,-3.73%,-11.11%,-4.41%,-4.42%
Missaukee,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Missaukee,NPMRDS_count,-0.85%,-3.88%,-9.04%,-3.89%,-3.92%
Missaukee,NPMRDS_vht,1.79%,-2.61%,-7.98%,-2.62%,-2.65%
Missaukee,INRIX_XD,-10.30%,-3.35%,-3.35%,-1.45%,-1.41%
Missaukee,INRIX_XD_FRC_1_4,-10.70%,-3.94%,-4.05%,-2.02%,-1.98%
Monroe,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Monroe,NPMRDS_count,8.73%,-5.12%,-16.35%,-6.33%,-6.44%
Monroe,NPMRDS_vht,9.63%,-5.38%,-17.17%,-6.75%,-6.86%
Monroe,INRIX_XD,-3.74%,0.63%,-7.14%,-0.77%,-0.75%
Monroe,INRIX_XD_FRC_1_4,-4.18%,0.12%,-7.93%,-1.27%,-1.26%
Montcalm,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Montcalm,NPMRDS_count,13.72%,-2.70%,-12.74%,-4.45%,-4.55%
Montcalm,NPMRDS_vht,16.29%,-2.73%,-13.62%,-4.96%,-5.07%
Montcalm,INRIX_XD,-6.69%,-1.52%,-4.75%,-1.00%,-0.97%
Montcalm,INRIX_XD_FRC_1_4,-7.54%,-2.53%,-6.46%,-2.11%,-2.09%
Montmorency,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Montmorency,NPMRDS_count,-10.15%,-7.79%,-8.46%,-6.91%,-6.92%
Montmorency,NPMRDS_vht,-9.78%,-7.64%,-8.12%,-6.78%,-6.79%
Montmorency,INRIX_XD,-8.03%,-1.99%,-3.19%,-1.36%,-1.32%
Montmorency,INRIX_XD_FRC_1_4,-10.49%,-6.42%,-8.09%,-5.62%,-5.61%
Muskegon,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Muskegon,NPMRDS_count,5.36%,-8.99%,-24.42%,-12.29%,-12.45%
Muskegon,NPMRDS_vht,3.88%,-10.21%,-25.85%,-13.67%,-13.83%
Muskegon,INRIX_XD,-4.00%,-0.92%,-6.69%,-1.16%,-1.15%
Muskegon,INRIX_XD_FRC_1_4,-5.28%,-3.33%,-10.33%,-3.88%,-3.89%
Newaygo,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Newaygo,NPMRDS_count,18.13%,-3.51%,-13.37%,-5.82%,-5.97%
Newaygo,NPMRDS_vht,20.91%,-3.38%,-13.85%,-6.00%,-6.16%
Newaygo,INRIX_XD,-10.68%,-3.50%,-3.11%,-1.07%,-1.02%
Newaygo,INRIX_XD_FRC_1_4,-11.56%,-4.70%,-4.61%,-2.27%,-2.22%
Oakland,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Oakland,NPMRDS_count,-5.10%,-6.44%,-12.24%,-6.71%,-6.74%
Oakland,NPMRDS_vht,-6.37%,-8.65%,-16.47%,-9.46%,-9.52%
Oakland,INRIX_XD,5.84%,11.15%,8.63%,10.32%,10.37%
